image_path,image,buildings administration/office,production,Vertical steel tanker = 10000m3,Vertical steel tanker = 5000 m3,Vertical steel tanker = 4500 м3,Vertical steel tanker = 3000 м3,Vertical steel tanker = 2000 м3,Vertical steel tanker = 1000 м3,Vertical steel tanker = 500 м3,Vertical steel tanker = 100 м3,Vertical steel tanker = 50 м3,Horizontal steel tanker = 75 м3,Horizontal steel tanker = 60 м3,Horizontal steel tanker = 50 м3
data/готовые данные/images/Елец_цвет.png,,2,4,4,0,0,0,0,3,4,8,0,0,0,0
data/готовые данные/images/Елец_чб.png,,2,4,4,0,0,0,0,3,4,8,0,0,0,0
data/готовые данные/images/Калининград_цвет.png,,1,4,0,0,4,0,0,2,2,5,0,0,0,0
data/готовые данные/images/Калининград_чб.png,,1,4,0,0,4,0,0,2,2,5,0,0,0,0
data/готовые данные/images/Кнайпеда_цвет.png,,1,2,2,2,0,0,0,4,4,0,10,0,0,0
data/готовые данные/images/Кнайпеда_чб.png,,1,2,2,2,0,0,0,4,4,0,10,0,0,0
data/готовые данные/images/Колпино_1_цвет.png,,1,2,4,2,0,0,0,4,4,0,5,0,0,0
data/готовые данные/images/Колпино_1_чб.png,,1,2,4,2,0,0,0,4,4,0,5,0,0,0
data/готовые данные/images/Колпино_2_цвет.png,,0,3,4,1,0,0,0,2,6,0,10,0,0,0
data/готовые данные/images/Колпино_2_чб.png,,0,3,4,1,0,0,0,2,6,0,10,0,0,0
data/готовые данные/images/Сальск_цвет.png,,0,0,0,0,0,4,0,4,0,0,2,5,6,0
data/готовые данные/images/Сальск_чб.png,,0,0,0,0,0,4,0,4,0,0,2,5,6,0
data/готовые данные/images/Талдом_цвет.png,,2,3,4,0,2,0,0,4,6,8,0,0,0,0
data/готовые данные/images/Талдом_чб.png,,2,3,4,0,2,0,0,4,6,8,0,0,0,0
data/готовые данные/images/Тюмень_цвет.png,,1,0,6,0,0,0,0,0,2,0,4,0,0,0
data/готовые данные/images/Тюмень_чб.png,,1,0,6,0,0,0,0,0,2,0,4,0,0,0
data/готовые данные/images/Яссы_цвет.png,,4,0,0,0,0,0,6,0,0,0,0,8,0,8
data/готовые данные/images/Яссы_чб.png,,4,0,0,0,0,0,6,0,0,0,0,8,0,8
